latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.10313,136.76918,362.47,1.13,1.06,2023-09-22,0054,T,100,6.1NRT,316.03,91.44,D
-16.10452,136.77957,335.46,1.13,1.06,2023-09-22,0054,T,74,6.1NRT,312.03,24.06,D
-16.11255,136.76785,365.16,1.13,1.06,2023-09-22,0054,T,100,6.1NRT,316.19,99.81,D
-16.11395,136.77824,343.93,1.13,1.06,2023-09-22,0054,T,89,6.1NRT,314.42,39.84,D
-16.12338,136.77693,330.6,1.13,1.06,2023-09-22,0054,T,58,6.1NRT,312.69,15.12,D
-16.1333,136.63876,336.26,1.11,1.05,2023-09-22,0054,T,81,6.1NRT,312.7,23.46,D
-16.13471,136.649,357.22,1.12,1.05,2023-09-22,0054,T,98,6.1NRT,314.92,71.37,D
-16.10082,136.33461,326.06,1.08,1.04,2023-09-22,0054,T,35,6.1NRT,311,5.62,D
-16.14408,136.64769,334.23,1.12,1.05,2023-09-22,0054,T,78,6.1NRT,315.44,19.53,D
-16.11619,136.32607,335.13,1.08,1.04,2023-09-22,0054,T,80,6.1NRT,312.82,18.37,D
-16.3204,136.87566,334.35,1.15,1.07,2023-09-22,0054,T,55,6.1NRT,314.85,18.76,D
-16.32182,136.88623,331.55,1.15,1.07,2023-09-22,0054,T,29,6.1NRT,315.76,13.24,D
-16.3299,136.87433,347.38,1.15,1.07,2023-09-22,0054,T,92,6.1NRT,316.24,45.97,D
-16.178,135.50638,328.39,1.02,1.01,2023-09-22,0054,T,63,6.1NRT,312.24,11.54,D
